index,file_name,orignal_url
1,Anthropic_Harness_Design.md,https://www.anthropic.com/engineering/harness-design-long-running-apps
2,Karpathy_LLM_OS.md,"https://haimagazine.com/en/science-and-development/karpathy-ai-is-not-electricity-its-a-new-operating-system/#:~:text=is%20not%20electricity.-,It's%20a%20new%20operating%20system,1960%20of%20the%20computer%20era?&text=Andrew%20Ng's%20metaphor%20%E2%80%9CAI%20is,the%20era%20of%20Software%203.0.&text=Your%20browser%20can't%20play%20this%20video.&text=An%20error%20occurred.,is%20disabled%20in%20your%20browser."
3,DeepSeek-OCR.md,https://arxiv.org/pdf/2510.18234
